Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure,Development Status,Status Label,GDP per capita (log),GHG Emissions per Capita,GHG Emissions per Capita (log)
Haiti,1331.69778506932,63.773,13.5011,65.221,0.23271912555853014,0,Developing,7.194960576596846,0.010138261211643613,0.010087213773029785
Honduras,2189.43168668222,70.864,20.3316,60.286,1.43753064533091,0,Developing,7.691853920591996,0.009286245432397902,0.00924339334102275
"Hong Kong SAR, China",41451.3260144604,85.4963414634146,40.5205,58.975,2.1092126445396673,1,Developed,10.632299275140024,0.0009775441197192177,0.000977066634616053
Hungary,14437.8088480852,75.419512195122,65.8413,58.498,1.76006936522039,1,Developed,9.57767491929956,0.004560338808525792,0.00454997196908649
Iceland,52641.7234828803,83.0634146341463,4.1989,73.512,2.1092126445396673,1,Developed,10.871283302557503,7.976372584696114e-05,7.97605448901295e-05
India,1806.50110583878,70.156,3433.619,51.547,2.80719387386131,0,Developing,7.49970056583842,1.9007012998233013,0.22873598013027
Indonesia,3739.44906576846,68.817,1050.3392,67.401,0.886277728854897,0,Developing,8.22696095426171,0.28088073444159994,0.22873598013027
"Iran, Islamic Rep.",5127.95975696418,74.141,889.2859,41.96855394819531,2.16792005411303,0,Developing,8.54265814118266,0.17341904814917444,0.159921750673564
Iraq,4213.99843766061,69.651,331.5823,41.96855394819531,3.1323217364269,0,Developing,8.34640449977411,0.07868590957145134,0.07574354989755262
Ireland,81791.0934649925,82.4560975609756,59.2585,61.09,0.267555214275712,1,Developed,11.311935861012076,0.0007245104263750098,0.0007242480953960859
Isle of Man,86595.0674507157,80.591,2518.7549931529666,60.01440606717643,2.1092126445396673,1,Developed,11.36900968301962,0.029086587346172792,0.028671600392574305
Israel,38049.9903345588,82.6487804878049,78.1304,63.406,3.2351087559283496,1,Developed,10.546682390140587,0.0020533618882167828,0.002051256622117645
Italy,29469.7989279182,82.1951219512195,369.4589,48.254,1.73898398051865,1,Developed,10.291155185235947,0.012536865314340279,0.012458929522725128
Jamaica,4752.33342267359,71.452,7.1645,64.834,1.70647069948671,0,Developing,8.466601424095462,0.0015075751978634031,0.0015064399472153821
Japan,34650.7967802766,84.56,1168.7534,61.947,1.01744793009109,1,Developed,10.453104858404256,0.0337294812414028,0.03317311829918663
Jordan,3806.87949354914,75.583,30.3144,41.96855394819531,3.2351087559283496,0,Developing,8.244827749808932,0.007963057420485352,0.007931519593132638
Kazakhstan,10565.0359816235,71.195,300.4421,71.216,0.907188676192723,1,Developed,9.265399983134278,0.028437394867616143,0.028040557930166344
Kenya,1609.33414078281,61.596,108.4215,67.039,1.10843419595019,0,Developing,7.384196977303772,0.06737040944602204,0.06519806244802269
Kiribati,1793.38536230105,65.205,0.1161,59.04029076105143,1.8049708592377387,0,Developing,7.4924178257390714,6.473789874755911e-05,6.473580334022634e-05
"Korea, Dem. People's Rep.",2588.0664359177026,72.783,96.7463,78.23707675300784,1.8049708592377387,0,Developing,7.859052640263441,0.03738169107923025,0.03669993392577643
"Korea, Rep.",31378.1579340648,83.4268292682927,689.1066,62.274,2.80332162242558,1,Developed,10.353899191448477,0.02196134653436399,0.021723669671318526
Kosovo,3990.94390114906,74.212,1246.471953030303,59.04029076105143,1.02303739145844,0,Developing,8.292033584514241,0.3123251000023886,0.22873598013027
Kuwait,25541.50749746,78.7609756097561,149.0334,68.715,3.2351087559283496,1,Developed,10.14809930399436,0.005834949249366772,0.005817991864673049
Kyrgyz Republic,1093.32864588331,71.8,20.0055,64.743,1.5771749985002,0,Developing,6.997896345440188,0.018297791862791065,0.018132401738639854
Lao PDR,2529.74622698761,68.339,34.4792,62.838,1.8049708592377387,0,Developing,7.836269489610461,0.013629509407770675,0.013537463065654974
Latvia,14900.7294732334,75.1853658536585,11.649,61.566,2.16211101523024,1,Developed,9.6092325572268,0.0007817738065056094,0.0007814683805356564
Lebanon,6440.82843092922,76.299,28.4878,45.219,3.0326454174822,1,Developed,8.770567696647507,0.004423002460863572,0.004413249732465674
Lesotho,944.834118658555,55.133,2.4288,57.107,1.88179923148985,0,Developing,6.852067203420997,0.0025706099642637077,0.0025673115978027657
Liberia,605.025475431411,61.267,4.3558,76.063,0.973405960386543,0,Developing,6.4069220238514095,0.007199366269484957,0.0071735745475293355
Libya,6102.79864032512,72.388,64.3831,48.621,1.8049708592377387,1,Developed,8.71666658426898,0.010549766393172373,0.0104945059246096
Liechtenstein,2588.0664359177026,81.6585365853659,1246.471953030303,59.04029076105143,1.8049708592377387,0,Developing,7.859052640263441,0.48162285779511543,0.22873598013027
Lithuania,17540.2948595021,75.0292682926829,22.6807,62.658,2.06523858406958,1,Developed,9.772313086434105,0.0012930626412881075,0.0012922273557644279
Luxembourg,104616.03467801,82.1439024390244,8.8364,60.103,0.578077082223964,1,Developed,11.55806167278376,8.446506338341829e-05,8.446149641080706e-05
"Macao SAR, China",33952.4969134127,84.1292682926829,2.9696,68.495,2.1092126445396673,1,Developed,10.432747129550341,8.74633758917118e-05,8.745955119366298e-05
Madagascar,422.924255422319,62.706,31.7288,78.23707675300784,0.673153896375499,0,Developing,6.04955479640153,0.07502241735536451,0.07234151471602542
Malawi,559.447086082658,65.216,17.298,68.27,0.834281207531417,0,Developing,6.3287348332077284,0.030919814277921235,0.030451427304026616
Malaysia,10171.4657842762,76.057,294.6664,65.486,0.999653920235799,1,Developed,9.227439916319065,0.028969905247630778,0.028558209823280476
Maldives,7340.09129737358,78.713,2.7028,62.769,2.1092126445396673,1,Developed,8.901242788673358,0.0003682243027368217,0.00036815652480606917
Mali,729.061137632465,58.858,43.4925,65.916,3.2351087559283496,0,Developing,6.593128280817045,0.05965549081553909,0.05794384663262757
Malta,27865.3293176048,82.0975609756098,1.9785,61.889,0.566881931048812,1,Developed,10.235174404503828,7.100221129452148e-05,7.099969075682557e-05
Marshall Islands,5172.57528216176,65.387,0.0026,59.04029076105143,1.8049708592377387,0,Developing,8.551319272434593,5.026509732910817e-07,5.026508469621236e-07
Mauritania,1553.30615586591,66.794,16.0047,41.96855394819531,2.38926918122421,0,Developing,7.348784523020101,0.010303635210328501,0.010250914594465985
Mauritius,9362.87435896817,74.1770731707317,5.5678,56.053,0.23271912555853014,1,Developed,9.144614411067579,0.0005946678110303721,0.0005944910661938063
Mexico,9234.64362485294,70.449,643.8809,56.426,0.717897860988845,1,Developed,9.130825584287434,0.06972449897981349,0.06740113773181014
"Micronesia, Fed. Sts.",2949.82835516828,65.878,0.0473,59.04029076105143,1.8049708592377387,0,Developing,7.989841208279513,1.6034831286751823e-05,1.6034702730218877e-05
Moldova,3188.91691602699,69.914,12.3107,69.68,0.385463277737582,0,Developing,8.067750150307106,0.00386046432822642,0.0038530318581941757
Monaco,161262.925884403,86.089,2518.7549931529666,60.01440606717643,2.1092126445396673,1,Developed,11.990797593002847,0.015618933982125988,0.01549821382360654
Mongolia,4066.03410882791,71.3490243902439,65.5308,61.967,0.709909468541962,0,Developing,8.310669292601318,0.01611663804239216,0.01598814378996099
Montenegro,6515.53680560451,75.9317073170732,2518.7549931529666,50.373,1.73802726045562,1,Developed,8.782098349018126,0.3865767423777567,0.22873598013027
Morocco,3090.89428710938,73.133,103.1779,44.609,3.2351087559283496,0,Developing,8.036539219960295,0.03338124517241012,0.03283618804398816
Mozambique,591.804059985932,61.39,28.5133,78.225,2.03395010408449,0,Developing,6.384863922787594,0.04818030481351852,0.04705561767832011
Myanmar,1301.31386350598,66.612,121.1395,60.151,2.99047588930389,0,Developing,7.171897856318194,0.09309014788609705,0.0890086832737393
Namibia,3787.49943973286,64.071,11.2558,57.885,3.2351087559283496,0,Developing,8.239725293485145,0.002971828822447006,0.002967421668551059
Nauru,7769.40694625475,61.527,0.0012,60.01440606717643,2.1092126445396673,1,Developed,8.958077816025583,1.5445194315358406e-07,1.5445193122588391e-07
