Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure
Latvia,14900.7294732334,75.1853658536585,11.649,61.566,2.16211101523024
Lebanon,6440.82843092922,76.299,28.4878,45.219,3.0326454174822
Lesotho,944.834118658555,55.133,2.4288,57.107,1.88179923148985
Liberia,605.025475431411,61.267,4.3558,76.063,0.973405960386543
Libya,6102.79864032512,72.388,64.3831,48.621,
Liechtenstein,,81.6585365853659,,,
Lithuania,17540.2948595021,75.0292682926829,22.6807,62.658,2.06523858406958
Luxembourg,104616.03467801,82.1439024390244,8.8364,60.103,0.578077082223964
"Macao SAR, China",33952.4969134127,84.1292682926829,2.9696,68.495,
Madagascar,422.924255422319,62.706,31.7288,84.479,0.673153896375499
Malawi,559.447086082658,65.216,17.298,68.27,0.834281207531417
Malaysia,10171.4657842762,76.057,294.6664,65.486,0.999653920235799
Maldives,7340.09129737358,78.713,2.7028,62.769,
Mali,729.061137632465,58.858,43.4925,65.916,3.39955821425498
Malta,27865.3293176048,82.0975609756098,1.9785,61.889,0.566881931048812
Marshall Islands,5172.57528216176,65.387,0.0026,,
Mauritania,1553.30615586591,66.794,16.0047,40.64,2.38926918122421
Mauritius,9362.87435896817,74.1770731707317,5.5678,56.053,0.161615351006251
Mexico,9234.64362485294,70.449,643.8809,56.426,0.717897860988845
"Micronesia, Fed. Sts.",2949.82835516828,65.878,0.0473,,
Moldova,3188.91691602699,69.914,12.3107,69.68,0.385463277737582
Monaco,161262.925884403,86.089,,,
Mongolia,4066.03410882791,71.3490243902439,65.5308,61.967,0.709909468541962
Montenegro,6515.53680560451,75.9317073170732,,50.373,1.73802726045562
Morocco,3090.89428710938,73.133,103.1779,44.609,3.97969764255599
Mozambique,591.804059985932,61.39,28.5133,78.225,2.03395010408449
Myanmar,1301.31386350598,66.612,121.1395,60.151,2.99047588930389
Namibia,3787.49943973286,64.071,11.2558,57.885,3.48015259214476
Nauru,7769.40694625475,61.527,0.0012,,
Nepal,1031.53618783934,69.106,54.8584,39.421,1.35853467346652
Netherlands,47086.5803832096,81.3585365853659,170.5004,66.442,1.4412639825242
New Caledonia,,77.049,6.9053,57.678,
New Zealand,39596.5266174221,82.2560975609756,84.7781,69.863,1.34084212677417
Nicaragua,1959.78830967601,70.766,19.14,64.363,0.629971870953776
Niger,533.194328910254,59.89,37.154,72.218,1.73360752172491
Nigeria,2337.57587388074,53.072,381.2424,81.484,0.632022913474166
North Macedonia,5743.72649424581,74.3951219512195,10.293,52.107,1.24058656980426
Northern Mariana Islands,15410.1186923944,78.03,0.0028,,
Norway,75287.2059530897,83.209756097561,57.1397,65.003,1.96598369239436
Oman,17743.8858800477,77.763,113.2133,65.442,8.03024250539625
Pakistan,1526.00597486307,65.701,525.7984,51.644,3.48667909020303
Palau,14232.2400546821,68.689,1.3362,,
Panama,12647.082664124,76.33,15.8089,66.4,
Papua New Guinea,2438.61137934805,65.075,9.6154,50.788,0.393261831182209
Paraguay,6109.19608100615,72.72,42.5609,70.117,1.02757342677333
